metro_id,Metro,StateID
326,Alma,23
327,Alpena,23
328,Ann Arbor,23
329,Battle Creek,23
330,Bay City,23
331,Big Rapids,23
332,Cadillac,23
333,Coldwater,23
334,Detroit,23
335,Escanaba,23
336,Flint,23
337,Grand Rapids,23
338,Hillsdale,23
339,Holland,23
340,Houghton,23
341,Ionia,23
342,Jackson,23
343,Kalamazoo,23
344,Lansing,23
345,Ludington,23
346,Marquette,23
347,Midland,23
348,Monroe,23
349,Mount Pleasant,23
350,Muskegon,23
351,Niles,23
352,Owosso,23
353,Saginaw,23
354,Sault Ste. Marie,23
355,South Bend,23
356,Sturgis,23
357,Traverse City,23
358,Albert Lea,24
359,Alexandria,24
360,Bemidji,24
361,Brainerd,24
362,Duluth,24
363,Fargo,24
364,Faribault,24
365,Fergus Falls,24
366,Grand Forks,24
367,Hutchinson,24
368,La Crosse,24
369,Mankato,24
370,Marshall,24
371,Minneapolis-St Paul,24
372,Owatonna,24
373,Red Wing,24
374,Rochester,24
375,St. Cloud,24
376,Willmar,24
377,Winona,24
378,Worthington,24
379,Branson,25
380,Cape Girardeau,25
381,Columbia,25
382,Fort Leonard Wood,25
383,Jefferson City,25
384,Joplin,25
385,Kansas City,25
386,Lebanon,25
387,Mexico,25
388,Moberly,25
389,Rolla,25
390,Sikeston,25
391,Springfield,25
392,St. Joseph,25
393,St. Louis,25
394,Warrensburg,25
395,Columbus,26
396,Gulfport,26
397,Hattiesburg,26
398,Jackson,26
399,McComb,26
400,Memphis,26
401,Meridian,26
402,Natchez,26
403,Oxford,26
404,Picayune,26
405,Tupelo,26
406,Vicksburg,26
407,Billings,27
408,Bozeman,27
409,Butte,27
410,Great Falls,27
411,Helena,27
412,Kalispell,27
413,Missoula,27
414,Albemarle,28
415,Asheville,28
416,Boone,28
417,Brevard,28
418,Burlington,28
419,Charlotte,28
420,Cullowhee,28
421,Dunn,28
422,Durham,28
423,Elizabeth City,28
424,Fayetteville,28
425,Forest City,28
426,Goldsboro,28
427,Greensboro,28
428,Greenville,28
429,Henderson,28
430,Hickory,28
431,Jacksonville,28
432,Kill Devil Hills,28
433,Kinston,28
434,Laurinburg,28
435,Lumberton,28
436,Morehead City,28
437,Mount Airy,28
438,Myrtle Beach,28
439,New Bern,28
440,North Wilkesboro,28
441,Oxford,28
442,Pinehurst-Southern Pines,28
443,Raleigh,28
444,Roanoke Rapids,28
445,Rockingham,28
446,Rocky Mount,28
447,Sanford,28
448,Virginia Beach,28
449,Washington,28
450,Wilmington,28
451,Winston-Salem,28
452,Bismarck,29
453,Fargo,29
454,Grand Forks,29
455,Beatrice,30
456,Fremont,30
457,Grand Island,30
458,Hastings,30
459,Lincoln,30
460,North Platte,30
461,Omaha,30
462,Sioux City,30
463,Berlin,31
464,Boston,31
465,Claremont,31
466,Concord,31
467,Keene,31
468,Laconia,31
469,Manchester,31
470,Allentown,32
471,Atlantic City,32
472,New York,32
473,Ocean City,32
474,Philadelphia,32
475,Trenton,32
476,Vineland,32
477,Alamogordo,33
478,Albuquerque,33
479,Carlsbad,33
480,Deming,33
481,Espanola,33
482,Farmington,33
483,Gallup,33
484,Grants,33
485,Hobbs,33
486,Las Cruces,33
487,Las Vegas,33
488,Los Alamos,33
489,Roswell,33
490,Santa Fe,33
491,Silver City,33
492,Taos,33
493,Carson City,34
494,Elko,34
495,Fallon,34
496,Fernley,34
497,Gardnerville Ranchos,34
498,Las Vegas,34
499,Pahrump,34
500,Reno,34
501,Winnemucca,34
502,Albany,35
503,Amsterdam,35
504,Auburn,35
505,Batavia,35
506,Binghamton,35
507,Buffalo,35
508,Corning,35
509,Cortland,35
510,Elmira,35
511,Glens Falls,35
512,Gloversville,35
513,Hudson,35
514,Ithaca,35
515,Jamestown,35
516,Kingston,35
517,Malone,35
518,New York,35
519,Ogdensburg,35
520,Olean,35
521,Oneonta,35
522,Plattsburgh,35
523,Rochester,35
524,Seneca Falls,35
525,Syracuse,35
526,Utica,35
527,Watertown,35
528,Akron,36
529,Ashtabula,36
530,Athens,36
531,Bellefontaine,36
532,Bucyrus,36
533,Canton,36
534,Celina,36
535,Chillicothe,36
536,Cincinnati,36
537,Cleveland,36
538,Columbus,36
539,Coshocton,36
540,Dayton,36
541,Fremont,36
542,Greenville,36
543,Jackson,36
544,Lima,36
545,Mansfield,36
546,Marietta,36
547,Marion,36
548,Mount Vernon,36
549,New Philadelphia,36
550,Norwalk,36
551,Point Pleasant,36
552,Port Clinton,36
553,Portsmouth,36
554,Salem,36
555,Sandusky,36
556,Sidney,36
557,Springfield,36
558,Tiffin,36
559,Toledo,36
560,Urbana,36
561,Van Wert,36
562,Washington Court House,36
563,Weirton,36
564,Wheeling,36
565,Wooster,36
566,Youngstown,36
567,Zanesville,36
568,Ada,37
569,Altus,37
570,Ardmore,37
571,Bartlesville,37
572,Duncan,37
573,Durant,37
574,Elk City,37
575,Enid,37
576,Fort Smith,37
577,Lawton,37
578,McAlester,37
579,Muskogee,37
580,Oklahoma City,37
581,Shawnee,37
582,Stillwater,37
583,Tahlequah,37
584,Tulsa,37
585,Weatherford,37
586,Woodward,37
587,Albany,38
588,Astoria,38
589,Bend,38
590,Brookings,38
591,Coos Bay,38
592,Corvallis,38
